item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
Nail(kg),4,100.0,400.0,2024-10-28,Construction,1st Floor,71.2
2 Pilar Mold Rental(Days),3,1800.0,5400.0,2024-10-28,Construction,1st Floor,71.2
Momo Waggeh Salary (Nov) ,1,4000.0,4000.0,2024-11-01,Construction,1st Floor,71.2
Plywood(12mm),2,1350.0,2700.0,2024-11-04,Construction,1st Floor,71.2
1x2 Wood,5,100.0,500.0,2024-11-04,Construction,1st Floor,71.2
Iron(10mm),5,350.0,1750.0,2024-11-04,Construction,1st Floor,71.2
"Nail(kg) 2""",1,100.0,100.0,2024-11-04,Construction,1st Floor,71.2
"Nail(kg) 3""",1,100.0,100.0,2024-11-04,Construction,1st Floor,71.2
Material Transport ,1,300.0,300.0,2024-11-04,Construction,1st Floor,71.2
Carpenter ,1,1000.0,1000.0,2024-11-08,Construction,1st Floor,71.2
Clearing for Backfilling,1,1000.0,1000.0,2024-11-08,Construction,1st Floor,71.2
Sand (10 Wheel),1,8000.0,8000.0,2024-11-13,Construction,1st Floor,71.2
Cement,12,420.0,5040.0,2024-11-13,Construction,1st Floor,71.2
Cement Transport ,12,20.0,250.0,2024-11-13,Construction,1st Floor,71.2
Sokaway Brick Molding,780,8.0,6250.0,2024-11-16,Construction,1st Floor,71.2
1st Sokaway Digger ,1,16200.0,16200.0,2024-11-22,Construction,1st Floor,71.2
2nd Sokaway Digger,1,5000.0,5000.0,2024-11-25,Construction,1st Floor,71.2
2nd Soakaway Digger,1,10000.0,10000.0,2024-11-29,Construction,1st Floor,71.2
For Buba Tunkara,1,1500.0,1500.0,2024-11-25,Construction,1st Floor,71.2
Momo Waggeh Salary (Dec) ,1,4000.0,4000.0,2024-12-01,Construction,1st Floor,71.2
Gas for the Generator ,1,400.0,400.0,2024-12-04,Construction,1st Floor,71.2
Manganasy uprooting ,1,500.0,500.0,2024-12-18,Construction,1st Floor,71.2
Momo Waggeh Salary (Jan) ,1,4000.0,4000.0,2025-01-01,Construction,1st Floor,71.2
Buba Boys Backfilling ,1,6000.0,6000.0,2025-01-11,Construction,1st Floor,71.2
For Buba Tunkara,1,1000.0,1000.0,2025-01-11,Construction,1st Floor,71.2
3rd Soakaway Digger,1,5000.0,5000.0,2025-01-16,Construction,1st Floor,71.2
3rd Soakaway Digger,1,5000.0,5000.0,2025-01-20,Construction,1st Floor,71.2
Momo Waggeh Salary(Feb),1,4000.0,4000.0,2025-02-01,Construction,1st Floor,71.2
Wheelbarrow ,1,2500.0,2500.0,2025-02-03,Construction,1st Floor,71.2
Wheelbarrow Transport ,1,150.0,150.0,2025-02-03,Construction,1st Floor,71.2
Gas Putting water on the floors,1,400.0,400.0,2025-02-09,Construction,1st Floor,71.2
Gravel(10 Wheels),1,5500.0,5500.0,2025-02-11,Construction,1st Floor,71.2
Gas for the Generator ,1,450.0,450.0,2025-02-13,Construction,1st Floor,71.2
Spreading(Backfilling) 10 Wheel,1,1500.0,1500.0,2025-02-13,Construction,1st Floor,71.2
Gravel(10 Wheels),1,5500.0,5500.0,2025-02-13,Construction,1st Floor,71.2
Gas for the Generator ,1,500.0,500.0,2025-02-18,Construction,1st Floor,71.2
Spreading(Backfilling) 10 Wheel,1,1500.0,1500.0,2025-02-21,Construction,1st Floor,71.2
Momo Waggeh Salary (March) ,1,4000.0,4000.0,2025-03-01,Construction,1st Floor,71.2
Gas for the Generator ,1,500.0,500.0,2025-03-04,Construction,1st Floor,71.2
